Date,Year,Month,MonthName,Quarter
2024-01-05,2024,1,January,Q1
2024-01-06,2024,1,January,Q1
2024-01-08,2024,1,January,Q1
2024-01-10,2024,1,January,Q1
2024-01-12,2024,1,January,Q1
2024-01-15,2024,1,January,Q1
2024-01-18,2024,1,January,Q1
2024-01-20,2024,1,January,Q1
2024-01-22,2024,1,January,Q1
2024-01-25,2024,1,January,Q1
2024-01-28,2024,1,January,Q1
2024-02-01,2024,2,February,Q1
2024-02-03,2024,2,February,Q1
2024-02-05,2024,2,February,Q1
2024-02-08,2024,2,February,Q1
2024-02-10,2024,2,February,Q1
2024-02-12,2024,2,February,Q1
2024-02-15,2024,2,February,Q1
2024-02-18,2024,2,February,Q1
2024-02-20,2024,2,February,Q1
2024-02-22,2024,2,February,Q1
2024-02-25,2024,2,February,Q1
2024-02-28,2024,2,February,Q1
2024-03-02,2024,3,March,Q1
2024-03-05,2024,3,March,Q1
2024-03-08,2024,3,March,Q1
2024-03-10,2024,3,March,Q1
2024-03-12,2024,3,March,Q1
2024-03-15,2024,3,March,Q1
2024-03-18,2024,3,March,Q1
2024-03-20,2024,3,March,Q1
2024-03-22,2024,3,March,Q1
2024-03-25,2024,3,March,Q1
2024-03-28,2024,3,March,Q1
2024-03-30,2024,3,March,Q1
2024-04-02,2024,4,April,Q2
2024-04-05,2024,4,April,Q2
2024-04-08,2024,4,April,Q2
2024-04-10,2024,4,April,Q2
2024-04-12,2024,4,April,Q2
2024-04-15,2024,4,April,Q2
2024-04-18,2024,4,April,Q2
2024-04-20,2024,4,April,Q2
2024-04-22,2024,4,April,Q2
2024-04-25,2024,4,April,Q2
2024-04-28,2024,4,April,Q2
2024-05-01,2024,5,May,Q2
2024-05-03,2024,5,May,Q2
2024-05-05,2024,5,May,Q2
2024-05-08,2024,5,May,Q2
2024-05-10,2024,5,May,Q2
2024-05-12,2024,5,May,Q2
2024-05-15,2024,5,May,Q2
2024-05-18,2024,5,May,Q2
2024-05-20,2024,5,May,Q2
2024-05-22,2024,5,May,Q2
2024-05-25,2024,5,May,Q2
2024-05-28,2024,5,May,Q2
2024-05-30,2024,5,May,Q2
2024-06-02,2024,6,June,Q2
